position,company,low_wage,high_wage,mid_wage
Mł Programista SQL,Sente,7000.0,8200.0,7600.0
Jr .Net Dev,Gamefound,10000.0,15000.0,12500.0
Junior Java Dev,Unity Group,6700.0,11800.0,9250.0
Jr. DevOps,Prime,8400.0,13700.0,11050.0
InternshipIT,Grid Dynamics,3500.0,3500.0,3500.0
iOS Dev,Affirm,13000.0,16000.0,14500.0
Junior C++ Dev,Acturis Poland,5000.0,8000.0,6500.0
Backend Dev,MENTAX,4300.0,7000.0,5650.0
.NET Dev,IN Team,6700.0,11800.0,9250.0
Junior Java Dev,braf.tech,10000.0,12000.0,11000.0
Junior System Admin,IT Develop,5000.0,8000.0,6500.0
Junior QA Engineer,Deviniti,6000.0,7700.0,6850.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
Junior Java Dev,Cloud Services,6000.0,12000.0,9000.0
J. PHP Dev,Innovation Software,4000.0,7000.0,5500.0
Jr Software Engineer,Big-xyt,5000.0,10000.0,7500.0
Cloud Engineer,Datumo,8000.0,14000.0,11000.0
Junior .NET Dev,Kruk,6000.0,8500.0,7250.0
Prac Ds Supportu,SellIntegro,4000.0,6000.0,5000.0
Junior C# Dev,Acturis Poland,5000.0,8000.0,6500.0
Technical Engineer,Piwik,5000.0,8000.0,6500.0
Prac Ds Supportu,SellIntegro,4000.0,6000.0,5000.0
Jr Soft. Eng,Semaphore,2996.0,5992.0,4494.0
Jr App Supp Eng,Big-xyt,5000.0,10000.0,7500.0
Android Dev,Affirm,13000.0,16000.0,14500.0
Junior Technical PM,YND,5000.0,6500.0,5750.0
Mł Progr Aplikacji Biz,Sente,7000.0,8200.0,7600.0
Java Software Eng,Mikronika,7500.0,15000.0,11250.0
Junior Java Dev,Equiqo,8000.0,13000.0,10500.0
Intern.IT,Grid Dynamics,3500.0,3500.0,3500.0
Junior Java Dev,Codibly,6800.0,11700.0,9250.0
Test Softw.Eng. (Intern),Ocado,8000.0,8000.0,8000.0
DevOps Jr,Prime Engin.,8400.0,13700.0,11050.0
Bubble.io Dev,LTVplus,4280.0,8560.0,6420.0
Softw.Eng.,Ocado Tech.,8000.0,8000.0,8000.0
QA Tester,Branchspace,4500.0,7500.0,6000.0
Junior Bioinformatician,Ardigen,5000.0,7000.0,6000.0
Software Java Eng.,Awin,8500.0,12500.0,10500.0
Junior DevOps Engineer,Nivalit,6000.0,9000.0,7500.0
Jr Frontend Dev,Sky-Shop.pl,6000.0,10000.0,8000.0
JrSoft.Eng,SmartRecruiters,8000.0,12000.0,10000.0
Junior Java Dev,Summer Agency,6000.0,10000.0,8000.0
Jr Software Eng,Qurate,9000.0,15000.0,12000.0
Product Specialist,Kitopi,5400.0,7300.0,6350.0
